en,id,jv,su,formal_id
indeed,emang,,,memang
indeed,memang,,,memang
,aduh,,,
,astaga,,,
,alamak,,,
,waduh,,,
,duh,,,
,ih,,,
,eh,,,
,ah,,,
,oh,,,
,uh,,,
,hmm,,,
,hm,,,
,em,,,
,um,,,
,huft,,,
,hufh,,,
,hufft,,,
,haah,,,
,haaah,,,
,aaah,,,
,oooh,,,
,uuuh,,,
,eeeh,,,
,iiih,,,
,owh,,,
,owwh,,,
,owwwh,,,
which,yg,sing,nu,yang
i,sy,aku,abdi,saya
you,km,kowe,anjeun,kamu
this,ini,iki,ieu,ini
that,itu,iku,eta,itu
and,dan,lan,jeung,dan
or,atau,utawa,atawa,atau
but,tp,nanging,tapi,tetapi
because,krn,merga,sabab,karena
if,jk,yen,lamun,jika
when,ktk,nalika,nalika,ketika
,saat,nalika,nalika,saat
,wkt,,,waktu
at,di,ing,di,di
to,ke,menyang,ka,ke
from,dr,saka,ti,dari
for,utk,kanggo,pikeun,untuk
with,dgn,karo,sareng,dengan
on,pd,ing,dina,pada
in,dlm,ing jero,dina,dalam
by,olh,dening,ku,oleh
,adlh,,,adalah
will,akn,arep,bade,akan
,tlh,,,telah
already,sdh,wis,parantos,sudah
being,sdg,lagi,nuju,sedang
still,msh,isih,masih,masih
not yet,blm,durung,can,belum
not,tdk,ora,henteu,tidak
not,bkn,dudu,sanés,bukan
do not,jgn,,,jangan
,ada,ana,aya,ada
,smu,kabeh,sadaya,semua
,stp,,,setiap
what,bbp,,,beberapa
,bnyk,akeh,seueur,banyak
,sdkt,sithik,saeutik,sedikit
very,sgt,banget,pisan,sangat
quite,agk,,,agak
enough,ckp,,,cukup
too,tll,,,terlalu
most,plg,,,paling
more,lbh,,,lebih
less,krg,,,kurang
,woles,,,santai
,santuy,,,santai
,newbie,,,pemula
,noob,,,pemula
,pro,,,profesional
in,dalam,ing jero,dina,dalam
we,kita,awake dhewe,urang,kita
,akhirnya,,,akhirnya
not,tidak,ora,henteu,tidak
,depan,,,depan
same,sama,,,sama
,suka,,,suka
,sebelas,,,sebelas
want,mau,,,mau
when,ketika,nalika,nalika,ketika
,barusan,,,barusan
,pelan,,,pelan
,sendiri,,,sendiri
will,akan,arep,bade,akan
,gampang,,,gampang
now,sekarang,saiki,ayeuna,sekarang
by,oleh,dening,ku,oleh
they,mereka,wong-wong,aranjeunna,mereka
,kira-kira,,,kira-kira
with,dengan,karo,sareng,dengan
,sebenarnya,,,sebenarnya
,pendek,cendhak,pondok,pendek
too,terlalu,,,terlalu
,malah,,,malah
,siang,awan,siang,siang
after,sesudah,,,sesudah
,kiranya,,,kiranya
,serupa,,,serupa
,sebab,,,sebab
like that,begitu,kaya ngono,kitu,begitu
,hingga,,,hingga
,maghrib,,,maghrib
you,anda,panjenengan,anjeun,anda
,pasti,,,pasti
more,lebih,,,lebih
,engkau,,,engkau
,atas,,,atas
,lima,lima,lima,lima
,ratus,,,ratus
,baik,apik,saé,baik
also,juga,,,juga
,susah,,,susah
,dirinya,,,dirinya
,keras,,,keras
i,aku,,,aku
,setiap,,,setiap
,satu,siji,hiji,satu
,tiga,telu,tilu,tiga
,panjang,dawa,panjang,panjang
,antara,,,antara
need,perlu,,,perlu
that,yaitu,,,yaitu
,beda,,,beda
,jauh,,,jauh
,selama,,,selama
,ketiga,,,ketiga
,sedikit,sithik,saeutik,sedikit
,telah,,,telah
on,pada,ing,dina,pada
,berbeda,,,berbeda
,dua,loro,dua,dua
must,harus,,,harus
later,nanti,mengko,engké,nanti
,tadi,,,tadi
,tipis,,,tipis
may,boleh,,,boleh
,berat,,,berat
want,dingin,,,dingin
why,mengapa,ngapa,naha,mengapa
,setelah,,,setelah
,rendah,cendhek,handap,rendah
want,ingin,,,ingin
quite,agaknya,,,agaknya
,tengah,,,tengah
,baru,anyar,anyar,baru
,ternyata,,,ternyata
,tentu,,,tentu
,menuju,,,menuju
,tinggi,dhuwur,luhur,tinggi
,rupanya,,,rupanya
,dulu,,,dulu
,tersebut,,,tersebut
again,lagi,,,lagi
,berikut,,,berikut
,lunak,,,lunak
,agar,,,agar
,sejuk,,,sejuk
,kotor,,,kotor
,malam,bengi,wengi,malam
,sulit,angel,hese,sulit
,sedih,,,sedih
,tua,tuwa,sepuh,tua
very,sangat,banget,pisan,sangat
on,kepada,,,kepada
you,kalian,,,kalian
before,sebelum,,,sebelum
second,detik,,,detik
year,tahun,,,tahun
,luar,,,luar
,berani,,,berani
,dekat,,,dekat
,lebar,,,lebar
,panas,,,panas
,marah,,,marah
,hangat,,,hangat
but,tetapi,nanging,tapi,tetapi
,hendak,,,hendak
we,sekitar,,,sekitar
quite,agak,,,agak
,sore,sore,sonten,sore
,dua belas,,,dua belas
,triliun,,,triliun
i,takut,,,takut
again,apalagi,,,apalagi
how many,berapa,pira,sabaraha,berapa
from,dari,saka,ti,dari
,halus,,,halus
he,diantara,,,diantara
until,sampai,,,sampai
can,bisa,,,bisa
,miliar,,,miliar
being,sedang,lagi,nuju,sedang
,bersih,,,bersih
already,mudah,gampang,gampil,mudah
like,seperti,,,seperti
only,hanya,,,hanya
,kalau,,,kalau
,adalah,,,adalah
,tujuh,pitu,tujuh,tujuh
still,masih,isih,masih,masih
,bagi,,,bagi
,mesti,,,mesti
,buruk,ala,awon,buruk
,cuma,,,cuma
already,sudah,wis,parantos,sudah
i,sayang,,,sayang
,lama,lawas,lami,lama
,besar,gedhe,ageung,besar
,dahulu,,,dahulu
,sehingga,,,sehingga
,ialah,,,ialah
,maka,,,maka
also,pula,,,pula
bad,jelek,elek,awon,jelek
,barangkali,,,barangkali
,isya,,,isya
month,bulan,,,bulan
,kering,,,kering
,mungkin,,,mungkin
,lainnya,,,lainnya
,namun,,,namun
,yakni,,,yakni
,sepuluh,sepuluh,sapuluh,sepuluh
,terhadap,,,terhadap
,basah,,,basah
for,untuk,kanggo,pikeun,untuk
,diri,,,diri
,semua,kabeh,sadaya,semua
,juta,,,juta
minute,menit,,,menit
,pertama,,,pertama
how,gimana,,,gimana
,cinta,,,cinta
do not,jangan,,,jangan
,sembilan,sanga,salapan,sembilan
,kiri,,,kiri
,kecil,cilik,alit,kecil
,kasar,,,kasar
,bahkan,,,bahkan
,cepat,cepet,gancang,cepat
what,delapan,wolu,dalapan,delapan
not yet,belum,durung,can,belum
,justru,,,justru
he,kemudian,,,kemudian
,jadi,,,jadi
if,jika,yen,lamun,jika
,subuh,,,subuh
we,kami,awake,kami,kami
almost,hampir,,,hampir
,pagi,esuk,isuk,pagi
not,tidak ada,ora ana,teu aya,tidak ada
good,bagus,apik,saé,bagus
can,dapat,,,dapat
day,hari,dina,dinten,hari
,lambat,alon,laun,lambat
,waktu,,,waktu
,selanjutnya,,,selanjutnya
,supaya,,,supaya
will,belakang,,,belakang
,sempit,,,sempit
,senang,,,senang
thus,demikian,,,demikian
this,kini,,,kini
week,minggu,,,minggu
just,saja,,,saja
,tebal,,,tebal
not,bukan,dudu,sanés,bukan
,enam,enem,genep,enam
,empat,papat,opat,empat
tomorrow,besok,sesuk,isukan,besok
how,bagaimana,piye,kumaha,bagaimana
yesterday,kemarin,wingi,kamari,kemarin
,puluh,,,puluh
,beliau,piyambakipun,anjeunna,beliau
i,saya,aku,abdi,saya
,kanan,,,kanan
because,karena,merga,sabab,karena
,lain,,,lain
,bawah,,,bawah
like,sepertinya,,,sepertinya
which,yang,sing,nu,yang
less,kurang,,,kurang
,muda,enom,ngora,muda
you,kamu,kowe,anjeun,kamu
,luas,,,luas
what,beberapa,,,beberapa
,banyak,akeh,seueur,banyak
like this,begini,kaya ngene,kieu,begini
most,paling,,,paling
,kedua,,,kedua
ever,pernah,,,pernah
what,seberapa,,,seberapa
,ringan,,,ringan
,bila,,,bila
,lalu,,,lalu
mother,ribu,,,ribu
enough,cukup,,,cukup
,um,,,um
,kah,,,kah
,duh,,,duh
,aduh,,,aduh
yes,ya,,,ya
,iya,,,iya
what,apa,,,apa
,nah,,,nah
,hm,,,hm
very,banget,,,banget
,kan,,,kan
like,kayak,,,kayak
,yep,,,yep
,lah,,,lah
,uh,,,uh
,oooh,,,oooh
,waduh,,,waduh
,eeeh,,,eeeh
,dong,,,dong
like that,begitu,,,begitu
,em,,,em
,eh,,,eh
when,kapan,,,kapan
,hufh,,,hufh
,deh,,,deh
,iiih,,,iiih
,hmm,,,hmm
,owh,,,owh
,oh,,,oh
,astaga,,,astaga
where,dimana,,,dimana
very,bgt,,,bgt
,macam,,,macam
,yah,,,yah
,ih,,,ih
,kok,,,kok
like,kaya,,,kaya
,wah,,,wah
,nih,,,nih
,huft,,,huft
,haaah,,,haaah
,alamak,,,alamak
,bener,,,bener
why,mengapa,,,mengapa
,ah,,,ah
,tuh,,,tuh
,uuuh,,,uuuh
like this,gini,,,gini
who,siapa,,,siapa
,owwh,,,owwh
how,bagaimana,,,bagaimana
,aaah,,,aaah
like that,gitu,,,gitu
,yup,,,yup
which,mana,,,mana
,hufft,,,hufft
,owwwh,,,owwwh
like this,begini,,,begini
,sih,,,sih
indeed,emang,,,emang
,haah,,,haah
lmfao,,,,laugh my f ass off
rotfl,,,,rolling on the floor laughing
gtg,,,,got to go
bff,,,,best friends forever
afaik,,,,as far as i know
ftw,,,,for the win
smh,,,,shaking my head
tmi,,,,too much information
yolo,,,,you only live once
fomo,,,,fear of missing out
tbf,,,,to be fair
afk,,,,away from keyboard
g2g,,,,got to go
cya,,,,see you
thx,,,,thanks
np,,,,no problem
ur,,,,your
pls,,,,please
plz,,,,please
msg,,,,message
txt,,,,text
pic,,,,picture
vid,,,,video
app,,,,application
tech,,,,technology
info,,,,information
admin,,,,administrator
mod,,,,moderator
dev,,,,developer
beta,,,,beta
alpha,,,,alpha
demo,,,,demonstration
promo,,,,promotion
sale,,,,sale
deal,,,,deal
offer,,,,offer
free,,,,free
premium,,,,premium
pro,,,,professional
lite,,,,light
mini,,,,mini
max,,,,maximum
plus,,,,plus
extra,,,,extra
super,,,,super
mega,,,,mega
ultra,,,,ultra
,ygy,,,ya guys ya
already,yaudah,,,ya sudah
already,yaudeh,,,ya sudah
already,yauda,,,ya sudah
already,yasud,,,ya sudah
already,yasudah,,,ya sudah
already,yawes,,,ya sudah
already,yowes,,,ya sudah
,pokoke,,,pokoknya
,pokoknya,,,pokoknya
,pokokna,,,pokoknya
,intinya,,,intinya
,intina,,,intinya
,sebenernya,,,sebenarnya
,sebenerna,,,sebenarnya
will,makanya,,,makanya
will,makana,,,makanya
,jadinya,,,jadinya
,jadina,,,jadinya
,terusnya,,,terusnya
,terusna,,,terusnya
again,lagian,,,lagian
again,lagina,,,lagian
,soalnya,,,soalnya
,soalna,,,soalnya
on,padahal,,,padahal
,rupana,,,rupanya
like,kayaknya,,,sepertinya
like,kayakna,,,sepertinya
like,keknya,,,sepertinya
,mgkn,,,mungkin
,brangkali,,,barangkali
what,siapa tau,,,siapa tahu
what,sapa tau,,,siapa tahu
just,kali aja,,,kali saja
just,kali aj,,,kali saja
already,mudah2an,,,mudah-mudahan
already,mudahan,,,mudah-mudahan
,semoga,,,semoga
,smoga,,,semoga
,insyaallah,,,insya allah
,insyallah,,,insya allah
,alhamdulillah,,,alhamdulillah
,subhanallah,,,subhanallah
,mashaallah,,,masha allah
,astaghfirullah,,,astaghfirullah
,bismillah,,,bismillah
,wallahu alam,,,wallahu alam
,wallahualam,,,wallahu alam
i,aku,aku,,saya
you,kowe,kowe,,kamu
he,dheweke,dheweke,,dia
you,awakmu,awakmu,,kamu
he,awakne,awakne,,dia
this,iki,iki,,ini
that,iku,iku,,itu
this,kene,kene,,sini
,kono,kono,,sana
where,ngendi,ngendi,,dimana
how,piye,piye,,bagaimana
what,apa,apa,,apa
who,sapa,sapa,,siapa
when,kapan,kapan,,kapan
why,ngapa,ngapa,,kenapa
at,ning,ning,,di
at,nang,nang,,di
to,menyang,menyang,,ke
from,saka,saka,,dari
for,kanggo,kanggo,,untuk
with,karo,karo,,dengan
and,lan,lan,,dan
or,utawa,utawa,,atau
but,nanging,nanging,,tetapi
because,merga,merga,,karena
if,yen,yen,,jika
when,nalika,nalika,,ketika
will,arep,arep,,akan
already,wis,wis,,sudah
being,lagi,lagi,,sedang
still,isih,isih,,masih
not yet,durung,durung,,belum
not,ora,ora,,tidak
not,dudu,dudu,,bukan
,ana,ana,,ada
not,ora ana,ora ana,,tidak ada
,kabeh,kabeh,,semua
,akeh,akeh,,banyak
,sithik,sithik,,sedikit
very,banget,banget,,sangat
good,apik,apik,,bagus
bad,elek,elek,,jelek
,gedhe,gedhe,,besar
,cilik,cilik,,kecil
,dawa,dawa,,panjang
,cendhak,cendhak,,pendek
,dhuwur,dhuwur,,tinggi
,cendhek,cendhek,,rendah
,anyar,anyar,,baru
,lawas,lawas,,lama
,enom,enom,,muda
,tuwa,tuwa,,tua
,cepet,cepet,,cepat
,alon,alon,,lambat
already,gampang,gampang,,mudah
,angel,angel,,sulit
now,saiki,saiki,,sekarang
later,mengko,mengko,,nanti
yesterday,wingi,wingi,,kemarin
tomorrow,sesuk,sesuk,,besok
,esuk,esuk,,pagi
,awan,awan,,siang
,sore,sore,,sore
,bengi,bengi,,malam
,siji,siji,,satu
,loro,loro,,dua
,telu,telu,,tiga
,papat,papat,,empat
,lima,lima,,lima
,enem,enem,,enam
,pitu,pitu,,tujuh
what,wolu,wolu,,delapan
,sanga,sanga,,sembilan
,sepuluh,sepuluh,,sepuluh
i,abdi,,abdi,saya
you,anjeun,,anjeun,kamu
he,anjeunna,,anjeunna,dia
we,urang,,urang,kita
they,aranjeunna,,aranjeunna,mereka
this,ieu,,ieu,ini
that,eta,,eta,itu
this,dieu,,dieu,sini
,dinya,,dinya,sana
where,dimana,,dimana,dimana
how,kumaha,,kumaha,bagaimana
what,naon,,naon,apa
who,saha,,saha,siapa
when,iraha,,iraha,kapan
why,naha,,naha,kenapa
which,nu,,nu,yang
and,jeung,,jeung,dan
or,atawa,,atawa,atau
but,tapi,,tapi,tetapi
because,sabab,,sabab,karena
if,lamun,,lamun,jika
to,ka,,ka,ke
from,ti,,ti,dari
for,pikeun,,pikeun,untuk
with,sareng,,sareng,dengan
on,dina,,dina,pada
by,ku,,ku,oleh
will,bade,,bade,akan
already,parantos,,parantos,sudah
being,nuju,,nuju,sedang
still,masih,,masih,masih
not yet,can,,can,belum
not,henteu,,henteu,tidak
not,sanés,,sanés,bukan
,aya,,aya,ada
not,teu aya,,teu aya,tidak ada
,sadaya,,sadaya,semua
,seueur,,seueur,banyak
,saeutik,,saeutik,sedikit
very,pisan,,pisan,sangat
good,saé,,saé,bagus
bad,awon,,awon,jelek
,ageung,,ageung,besar
,alit,,alit,kecil
,panjang,,panjang,panjang
,pondok,,pondok,pendek
,luhur,,luhur,tinggi
,handap,,handap,rendah
,lami,,lami,lama
,ngora,,ngora,muda
,sepuh,,sepuh,tua
,gancang,,gancang,cepat
,laun,,laun,lambat
already,gampil,,gampil,mudah
,hese,,hese,sulit
now,ayeuna,,ayeuna,sekarang
later,engké,,engké,nanti
yesterday,kamari,,kamari,kemarin
tomorrow,isukan,,isukan,besok
day,dinten,,dinten,hari
,isuk,,isuk,pagi
,siang,,siang,siang
,sonten,,sonten,sore
,wengi,,wengi,malam
,hiji,,hiji,satu
,dua,,dua,dua
,tilu,,tilu,tiga
,opat,,opat,empat
,genep,,genep,enam
,tujuh,,tujuh,tujuh
what,dalapan,,dalapan,delapan
,salapan,,salapan,sembilan
,sapuluh,,sapuluh,sepuluh
great,mantul,,,mantap betul
great,mantep,,,mantap
cool,kece,,,keren
cool,kereen,,,keren
cool,kereeen,,,keren
,gila,,,gila
,anjrit,,,wow
,busyet,,,wow
,santai,,,santai
,slow,,,pelan
,sabar,,,sabar
,tenang,,,tenang
,kalem,,,tenang
cool,cool,,,keren
,asik,,,asik
,asyik,,,asik
,seru,,,seru
,lucu,,,lucu
,ngakak,,,tertawa
,ketawa,,,tertawa
,tertawa,,,tertawa
haha,haha,,,haha
already,udah,,,sudah
already,udeh,,,sudah
not yet,belom,,,belum
not yet,blom,,,belum
like that,gitu,,,begitu
like this,gini,,,begini
very,banget,,,sangat
very,bgt,,,sangat
which,yg,,,yang
i,sy,,,saya
you,km,,,kamu
he,dy,,,dia
they,mrk,,,mereka
we,kt,,,kita
we,kmi,,,kami
this,ini,,,ini
that,itu,,,itu
and,dan,,,dan
or,atau,,,atau
but,tp,,,tetapi
because,krn,,,karena
if,jk,,,jika
when,ktk,,,ketika
,saat,,,saat
at,di,,,di
to,ke,,,ke
from,dr,,,dari
for,utk,,,untuk
with,dgn,,,dengan
on,pd,,,pada
in,dlm,,,dalam
by,olh,,,oleh
will,akn,,,akan
already,sdh,,,sudah
being,sdg,,,sedang
still,msh,,,masih
not yet,blm,,,belum
not,tdk,,,tidak
not,bkn,,,bukan
,ada,,,ada
,smu,,,semua
,bnyk,,,banyak
,sdkt,,,sedikit
very,sgt,,,sangat
now,skrg,,,sekarang
now,skrang,,,sekarang
later,ntar,,,nanti
later,tar,,,nanti
yesterday,kmrn,,,kemarin
tomorrow,bsk,,,besok
day,hr,,,hari
how,gimana,,,bagaimana
how,gmn,,,bagaimana
how,bgmn,,,bagaimana
where,dmn,,,dimana
where,dmana,,,dimana
who,spa,,,siapa
who,sapa,,,siapa
what,apaan,,,apa
what,apain,,,apa
which,mn,,,mana
when,kpn,,,kapan
when,kpan,,,kapan
great,mantap,,,mantap
cool,keren,,,keren
good,bagus,,,bagus
bad,jelek,,,jelek
,buruk,,,buruk
,oke,,,oke
,ok,,,oke
,okay,,,oke
,siap,,,siap
,ready,,,siap
,done,,,selesai
,finish,,,selesai
,selesai,,,selesai
,beres,,,selesai
,clear,,,jelas
,jelas,,,jelas
,paham,,,paham
,ngerti,,,mengerti
,mengerti,,,mengerti
,tau,,,tahu
,tahu,,,tahu
,kenal,,,kenal
,familiar,,,kenal
,asing,,,asing
,aneh,,,aneh
,weird,,,aneh
,strange,,,aneh
,normal,,,normal
,biasa,,,biasa
,usual,,,biasa
,special,,,khusus
,khusus,,,khusus
,istimewa,,,istimewa
,unik,,,unik
,unique,,,unik
,rare,,,langka
,langka,,,langka
rarely,jarang,,,jarang
often,sering,,,sering
often,often,,,sering
always,always,,,selalu
always,selalu,,,selalu
not,never,,,tidak pernah
sometimes,kadang,,,kadang
sometimes,sometimes,,,kadang
,maybe,,,mungkin
,perhaps,,,mungkin
,probably,,,mungkin
,definitely,,,pasti
,sure,,,yakin
,yakin,,,yakin
,doubt,,,ragu
,ragu,,,ragu
,bingung,,,bingung
,confused,,,bingung
,obvious,,,jelas
,simple,,,sederhana
,sederhana,,,sederhana
,complex,,,rumit
,rumit,,,rumit
,complicated,,,rumit
already,easy,,,mudah
already,mudah,,,mudah
already,gampang,,,mudah
,difficult,,,sulit
,sulit,,,sulit
,susah,,,sulit
,hard,,,sulit
,soft,,,lembut
,lembut,,,lembut
,rough,,,kasar
,smooth,,,halus
,fast,,,cepat
,cepat,,,cepat
,quick,,,cepat
,slow,,,lambat
,lambat,,,lambat
,hot,,,panas
want,cold,,,dingin
,warm,,,hangat
,cool,,,sejuk
,wet,,,basah
,dry,,,kering
,clean,,,bersih
,dirty,,,kotor
,fresh,,,segar
,segar,,,segar
,old,,,lama
,lama,,,lama
,new,,,baru
,baru,,,baru
,young,,,muda
,muda,,,muda
,old,,,tua
