en,id,jv,su,formal_id
seven,tujuh,pitu,tujuh,tujuh
eight,delapan,wolu,dalapan,delapan
nine,sembilan,sanga,salapan,sembilan
ten,sepuluh,sepuluh,sapuluh,sepuluh
today,hari ini,dina iki,dinten ieu,hari ini
tomorrow,besok,sesuk,isukan,besok
yesterday,kemarin,wingi,kamari,kemarin
morning,pagi,esuk,isuk,pagi
afternoon,siang,awan,siang,siang
evening,sore,sore,sonten,sore
night,malam,bengi,wengi,malam
,wkwkwkwk,,,hahaha
,wkwkland,,,indonesia
,xixi,,,hehe
,xixixixi,,,hehehe
,kwkwkw,,,hahaha
,wakaka,,,hahaha
,wakakaka,,,hahaha
,hahaha,,,hahaha
,hehehe,,,hehehe
,hihi,,,hihi
,hoho,,,hoho
,huhu,,,huhu
,wkwk,,,haha
,kwkw,,,haha
,kkkk,,,haha
,kkkkk,,,hahaha
,wkakaka,,,hahaha
,wakwaw,,,haha
,wkwkwk,,,hahaha
,sekarang,,,sekarang
,skrg,,,sekarang
,skrang,,,sekarang
,nanti,,,nanti
,ntar,,,nanti
,tar,,,nanti
,tadi,,,tadi
,td,,,tadi
,kemarin,,,kemarin
,kmrn,,,kemarin
,besok,,,besok
,bsk,,,besok
,lusa,,,lusa
,minggu,,,minggu
,mgg,,,minggu
,bulan,,,bulan
,bln,,,bulan
,tahun,,,tahun
,thn,,,tahun
,hari,,,hari
,hr,,,hari
,jam,,,jam
,menit,,,menit
,mnt,,,menit
,detik,,,detik
,dtk,,,detik
,,aku,,saya
,,kowe,,kamu
,,dheweke,,dia
,,awakmu,,kamu
,,awakne,,dia
,,iki,,ini
,,iku,,itu
,,kene,,sini
,,kono,,sana
,,ngendi,,dimana
,,piye,,bagaimana
,,apa,,apa
,,sapa,,siapa
,,kapan,,kapan
,,ngapa,,kenapa
,,ning,,di
,,nang,,di
,,menyang,,ke
,,saka,,dari
,,kanggo,,untuk
,,karo,,dengan
,,lan,,dan
,,utawa,,atau
,,nanging,,tetapi
,,merga,,karena
,,yen,,jika
,,nalika,,ketika
,,arep,,akan
,,wis,,sudah
,,lagi,,sedang
,,isih,,masih
,,durung,,belum
,,ora,,tidak
,,dudu,,bukan
,,ana,,ada
,,ora ana,,tidak ada
,,kabeh,,semua
,,akeh,,banyak
,,sithik,,sedikit
,,banget,,sangat
,,apik,,bagus
,,elek,,jelek
,,gedhe,,besar
,,cilik,,kecil
,,dawa,,panjang
,,cendhak,,pendek
,,,abdi,saya
,,,anjeun,kamu
,,,anjeunna,dia
,,,ieu,ini
,,,eta,itu
,,,dieu,sini
,,,dinya,sana
,,,dimana,dimana
,,,kumaha,bagaimana
,,,naon,apa
,,,saha,siapa
,,,iraha,kapan
,,,naha,kenapa
,,,di,di
,,,ka,ke
,,,ti,dari
,,,pikeun,untuk
,,,sareng,dengan
,,,jeung,dan
,,,atawa,atau
,,,tapi,tetapi
,,,sabab,karena
,,,lamun,jika
,,,nalika,ketika
,,,bade,akan
,,,parantos,sudah
,,,nuju,sedang
,,,masih,masih
,,,can,belum
,,,henteu,tidak
,,,sanés,bukan
,,,aya,ada
,,,teu aya,tidak ada
,,,sadaya,semua
,,,seueur,banyak
,,,saeutik,sedikit
,,,pisan,sangat
,,,saé,bagus
,,,awon,jelek
,,,ageung,besar
,,,alit,kecil
,,,panjang,panjang
,,,pondok,pendek
good,bagus,apik,saé,bagus
bad,buruk,elek,awon,buruk
big,besar,gedhe,ageung,besar
small,kecil,cilik,alit,kecil
long,panjang,dawa,panjang,panjang
short,pendek,cendhak,pondok,pendek
new,baru,anyar,anyar,baru
old,lama,lawas,lami,lama
young,muda,enom,ngora,muda
fast,cepat,cepet,gancang,cepat
slow,lambat,alon,laun,lambat
hot,panas,panas,panas,panas
cold,dingin,adhem,tiis,dingin
warm,hangat,anget,haneut,hangat
cool,sejuk,adem,tiis,sejuk
wet,basah,teles,baseuh,basah
dry,kering,garing,garing,kering
clean,bersih,resik,beresih,bersih
dirty,kotor,reged,kotor,kotor
easy,mudah,gampang,gampil,mudah
hard,sulit,angel,hese,sulit
light,ringan,entheng,hampang,ringan
heavy,berat,abot,beurat,berat
high,tinggi,dhuwur,luhur,tinggi
low,rendah,cendhek,handap,rendah
near,dekat,cedhak,deukeut,dekat
far,jauh,adoh,jauh,jauh
left,kiri,kiwa,kénca,kiri
right,kanan,tengen,katuhu,kanan
front,depan,ngarep,hareupeun,depan
back,belakang,mburi,tukang,belakang
up,atas,dhuwur,luhur,atas
down,bawah,ngisor,handap,bawah
first,pertama,pisanan,kahiji,pertama
last,terakhir,pungkasan,panungtungan,terakhir
next,berikutnya,sabanjure,salajengna,berikutnya
previous,sebelumnya,sadurunge,sateuacanna,sebelumnya
same,sama,padha,sarua,sama
different,berbeda,beda,béda,berbeda
true,benar,bener,leres,benar
false,salah,salah,lepat,salah
yes,ya,iya,enya,ya
no,tidak,ora,henteu,tidak
maybe,mungkin,mbok menawa,meureun,mungkin
sure,pasti,mesthi,pasti,pasti
never,tidak pernah,ora tau,henteu kantos,tidak pernah
always,selalu,tansah,salawasna,selalu
sometimes,kadang,kadhang,sakapeung,kadang
often,sering,kerep,mindeng,sering
rarely,jarang,arang,jarang,jarang
usually,biasanya,biasane,biasana,biasanya
normally,normalnya,lumrahe,biasana,normalnya
really,benar-benar,tenan,leres-leres,benar-benar
actually,sebenarnya,sejatine,saleresna,sebenarnya
probably,mungkin,mbok menawa,sigana,mungkin
definitely,pasti,mesthi,pasti,pasti
certainly,tentu,mesthi,tangtu,tentu
absolutely,mutlak,mutlak,mutlak,mutlak
completely,sepenuhnya,sakabehe,lengkep,sepenuhnya
totally,total,total,total,total
exactly,persis,persis,persis,persis
almost,hampir,meh,ampir,hampir
quite,cukup,cukup,cukup,cukup
rather,agak,rada,rada,agak
pretty,cukup,lumayan,lumayan,cukup
fairly,cukup,lumayan,lumayan,cukup
extremely,sangat,banget,pisan,sangat
incredibly,luar biasa,luar biasa,luar biasa,luar biasa
amazingly,menakjubkan,nggumunake,endah,menakjubkan
surprisingly,mengejutkan,nggumunake,héran,mengejutkan
,ygy,,,ya guys ya
,yg,,,yang
,sy,,,saya
,km,,,kamu
,dy,,,dia
,mrk,,,mereka
,kt,,,kita
,kmi,,,kami
,ini,,,ini
,itu,,,itu
,dan,,,dan
,atau,,,atau
,tp,,,tetapi
,krn,,,karena
,jk,,,jika
,ktk,,,ketika
,saat,,,saat
,wkt,,,waktu
,di,,,di
,ke,,,ke
,dr,,,dari
,utk,,,untuk
,dgn,,,dengan
,pd,,,pada
,dlm,,,dalam
,olh,,,oleh
,adlh,,,adalah
,akn,,,akan
,tlh,,,telah
,sdh,,,sudah
,sdg,,,sedang
,msh,,,masih
,blm,,,belum
,tdk,,,tidak
,bkn,,,bukan
,jgn,,,jangan
,ada,,,ada
,smu,,,semua
,stp,,,setiap
,bbp,,,beberapa
,bnyk,,,banyak
,sdkt,,,sedikit
,sgt,,,sangat
,agk,,,agak
,ckp,,,cukup
,tll,,,terlalu
,plg,,,paling
,lbh,,,lebih
,krg,,,kurang
,huft,,,
,hufh,,,
,hufft,,,
,haah,,,
,haaah,,,
,aaah,,,
,oooh,,,
,uuuh,,,
,eeeh,,,
,iiih,,,
,owh,,,
,owwh,,,
,owwwh,,,
,hehe,,,
,hihi,,,
,hoho,,,
,huhu,,,
,haha,,,
,hehe,,,
,xixi,,,
,keke,,,
,gege,,,
,wkwk,,,
,kwkw,,,
,wakaka,,,
,wkakaka,,,
,wakakaka,,,
,wkwkwk,,,
,wkwkwkwk,,,
,kwkwkw,,,
,kwkwkwkw,,,
,gimana,,,bagaimana
,gmn,,,bagaimana
,bgmn,,,bagaimana
,kenapa,,,kenapa
,knp,,,kenapa
,knapa,,,kenapa
,mengapa,,,mengapa
,dimana,,,dimana
,dmn,,,dimana
,dmana,,,dimana
,kemana,,,kemana
,kmn,,,kemana
,kmana,,,kemana
,darimana,,,darimana
,drmn,,,darimana
,drmana,,,darimana
,siapa,,,siapa
,spa,,,siapa
,sapa,,,siapa
,apa,,,apa
,apaan,,,apa
,apain,,,apa
,mana,,,mana
,mn,,,mana
,kapan,,,kapan
,kpn,,,kapan
,kpan,,,kapan
,sekarang,,,sekarang
,skrg,,,sekarang
,skrang,,,sekarang
,nanti,,,nanti
,ntar,,,nanti
,tar,,,nanti
,tadi,,,tadi
,td,,,tadi
,barusan,,,baru saja
,brsan,,,baru saja
,baru,,,baru
,br,,,baru
,lama,,,lama
,lm,,,lama
,cepat,,,cepat
,cpat,,,cepat
,cpt,,,cepat
,lambat,,,lambat
,lmbt,,,lambat
,pelan,,,pelan
,pln,,,pelan
