en,id,jv,su,formal_id
hahaha,kkkkk,,,hahaha
why,kenapa,,,kenapa
why,knp,,,kenapa
from,darimana,,,darimana
from,drmn,,,darimana
yes,iya,,,ya
yes,yup,,,ya
yes,yep,,,ya
,kok,,,
,sih,,,
,deh,,,
,dong,,,
,lah,,,
,kah,,,
,tuh,,,
,nih,,,
,yah,,,
,wah,,,
,nah,,,
,kan,,,
,aduh,,,
,astaga,,,
,alamak,,,
,waduh,,,
,duh,,,
,ih,,,
,eh,,,
,ah,,,
,oh,,,
,uh,,,
,hmm,,,
,hm,,,
,em,,,
,um,,,
,huft,,,
,hufh,,,
,hufft,,,
,haah,,,
,haaah,,,
,aaah,,,
,oooh,,,
,uuuh,,,
,eeeh,,,
,iiih,,,
,owh,,,
,owwh,,,
,owwwh,,,
,wkt,,,waktu
,akhirnya,,,akhirnya
,depan,,,depan
,gampang,,,gampang
,sebenarnya,,,sebenarnya
,malah,,,malah
after,sesudah,,,sesudah
,kiranya,,,kiranya
,sebab,,,sebab
,hingga,,,hingga
more,lebih,,,lebih
,atas,,,atas
,susah,,,susah
,dirinya,,,dirinya
,keras,,,keras
i,aku,,,aku
,setiap,,,setiap
,antara,,,antara
,jauh,,,jauh
,telah,,,telah
must,harus,,,harus
,tipis,,,tipis
may,boleh,,,boleh
,berat,,,berat
,setelah,,,setelah
quite,agaknya,,,agaknya
,tengah,,,tengah
,rupanya,,,rupanya
again,lagi,,,lagi
,lunak,,,lunak
,sejuk,,,sejuk
,kotor,,,kotor
,sedih,,,sedih
you,kalian,,,kalian
before,sebelum,,,sebelum
,luar,,,luar
,berani,,,berani
,dekat,,,dekat
,panas,,,panas
,marah,,,marah
,hangat,,,hangat
we,sekitar,,,sekitar
i,takut,,,takut
,halus,,,halus
he,diantara,,,diantara
until,sampai,,,sampai
can,bisa,,,bisa
,bersih,,,bersih
only,hanya,,,hanya
,kalau,,,kalau
,adalah,,,adalah
i,sayang,,,sayang
,ialah,,,ialah
,kering,,,kering
,lainnya,,,lainnya
,basah,,,basah
,cinta,,,cinta
,kiri,,,kiri
,kasar,,,kasar
,waktu,,,waktu
,selanjutnya,,,selanjutnya
will,belakang,,,belakang
,sempit,,,sempit
,senang,,,senang
,tebal,,,tebal
,kanan,,,kanan
,bawah,,,bawah
,luas,,,luas
what,beberapa,,,beberapa
most,paling,,,paling
,ringan,,,ringan
,bila,,,bila
,um,,,um
,kah,,,kah
,duh,,,duh
,aduh,,,aduh
yes,ya,,,ya
,iya,,,iya
what,apa,,,apa
,nah,,,nah
,hm,,,hm
very,banget,,,banget
,kan,,,kan
,yep,,,yep
,lah,,,lah
,uh,,,uh
,oooh,,,oooh
,waduh,,,waduh
,eeeh,,,eeeh
,dong,,,dong
,em,,,em
,eh,,,eh
when,kapan,,,kapan
,hufh,,,hufh
,deh,,,deh
,iiih,,,iiih
,hmm,,,hmm
,owh,,,owh
,oh,,,oh
,astaga,,,astaga
where,dimana,,,dimana
very,bgt,,,bgt
,yah,,,yah
,ih,,,ih
,kok,,,kok
,wah,,,wah
,nih,,,nih
,huft,,,huft
,haaah,,,haaah
,alamak,,,alamak
why,mengapa,,,mengapa
,ah,,,ah
,tuh,,,tuh
,uuuh,,,uuuh
who,siapa,,,siapa
,owwh,,,owwh
how,bagaimana,,,bagaimana
,aaah,,,aaah
,yup,,,yup
which,mana,,,mana
,hufft,,,hufft
,owwwh,,,owwwh
,sih,,,sih
,haah,,,haah
,pokoknya,,,pokoknya
,intinya,,,intinya
,sebenernya,,,sebenarnya
will,makanya,,,makanya
,jadinya,,,jadinya
,terusnya,,,terusnya
,soalnya,,,soalnya
,insyaallah,,,insya allah
,insyallah,,,insya allah
,alhamdulillah,,,alhamdulillah
,subhanallah,,,subhanallah
,mashaallah,,,masha allah
,astaghfirullah,,,astaghfirullah
,bismillah,,,bismillah
i,aku,aku,,saya
what,apa,apa,,apa
who,sapa,sapa,,siapa
when,kapan,kapan,,kapan
being,lagi,lagi,,sedang
very,banget,banget,,sangat
already,gampang,gampang,,mudah
where,dimana,,dimana,dimana
by,ku,,ku,oleh
still,masih,,masih,masih
,panjang,,panjang,panjang
haha,haha,,,haha
already,udah,,,sudah
already,udeh,,,sudah
very,banget,,,sangat
very,bgt,,,sangat
which,yg,,,yang
i,sy,,,saya
you,km,,,kamu
he,dy,,,dia
they,mrk,,,mereka
we,kt,,,kita
this,ini,,,ini
that,itu,,,itu
and,dan,,,dan
or,atau,,,atau
because,krn,,,karena
if,jk,,,jika
when,ktk,,,ketika
,saat,,,saat
at,di,,,di
to,ke,,,ke
from,dr,,,dari
for,utk,,,untuk
with,dgn,,,dengan
on,pd,,,pada
in,dlm,,,dalam
by,olh,,,oleh
will,akn,,,akan
already,sdh,,,sudah
being,sdg,,,sedang
still,msh,,,masih
not,tdk,,,tidak
not,bkn,,,bukan
,ada,,,ada
,smu,,,semua
,bnyk,,,banyak
,sdkt,,,sedikit
very,sgt,,,sangat
now,skrg,,,sekarang
yesterday,kmrn,,,kemarin
tomorrow,bsk,,,besok
how,gmn,,,bagaimana
how,bgmn,,,bagaimana
where,dmn,,,dimana
who,spa,,,siapa
who,sapa,,,siapa
which,mn,,,mana
when,kpn,,,kapan
,buruk,,,buruk
,oke,,,oke
,ok,,,oke
,okay,,,oke
often,sering,,,sering
often,often,,,sering
always,always,,,selalu
always,selalu,,,selalu
sometimes,kadang,,,kadang
sometimes,sometimes,,,kadang
already,mudah,,,mudah
already,gampang,,,mudah
,sulit,,,sulit
,susah,,,sulit
,cepat,,,cepat
,lambat,,,lambat
,lama,,,lama
,baru,,,baru
,muda,,,muda
,tua,,,tua
,besar,,,besar
,kecil,,,kecil
,panjang,,,panjang
,pendek,,,pendek
,tinggi,,,tinggi
,rendah,,,rendah
,benci,,,benci
,lelah,,,lelah
hello,hello,,,halo
hello,halo,,,halo
hi,hi,,,hai
hi,hai,,,hai
,sekolah,,,sekolah
,masalah,,,masalah
,akibat,,,akibat
you,seandainya,,,seandainya
,meskipun,,,meskipun
,walaupun,,,walaupun
very,sekalipun,,,sekalipun
,kendatipun,,,kendatipun
,tak,,,tak
not,bukanlah,,,bukanlah
,sejumlah,,,sejumlah
,pun,,,pun
,nya,,,nya
,mu,,,mu
,pun,,,pun
,sebaliknya,,,sebaliknya
,nampaknya,,,nampaknya
,sebelah,,,sebelah
,adapun,,,adapun
on,pada akhirnya,,,pada akhirnya
,sebaliknya,,,sebaliknya
,sebaliknya,,,sebaliknya
,cobalah,,,cobalah
,to,,,to
again,lg,,,lagi
,d,,,ada
always,sll,,,selalu
at,d,,,di
yes,y,,,ya
only,hnya,,,hanya
at,do,,,di
only,hny,,,hanya
,y,,,nya
,s,,,sih
i,y,,,saya
what,ap,,,apa
that,it,,,itu
this,in,,,ini
